epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,71.7272,0.70767,0.99918,1.08698,0.83692,0.48333,0.59988,0.33196,1.7107,1.82418,1.4484,2.75753e-05,2.75753e-05,2.75753e-05
67,72.755,0.73697,1.12439,1.10052,0.83692,0.48333,0.59988,0.33196,1.7107,1.82418,1.4484,2.7222e-05,2.7222e-05,2.7222e-05
68,73.8019,1.01494,1.73857,1.37474,0.83692,0.48333,0.59988,0.33196,1.7107,1.82418,1.4484,2.68451e-05,2.68451e-05,2.68451e-05
69,74.8645,0.64918,1.15018,1.12782,0.84053,0.48357,0.55588,0.28385,1.75146,1.8939,1.45446,2.64447e-05,2.64447e-05,2.64447e-05
70,75.8955,1.04652,0.89105,1.48112,0.84053,0.48357,0.55588,0.28385,1.75146,1.8939,1.45446,2.60207e-05,2.60207e-05,2.60207e-05
71,76.955,0.91579,1.22355,1.2954,0.84053,0.48357,0.55588,0.28385,1.75146,1.8939,1.45446,2.55731e-05,2.55731e-05,2.55731e-05
72,78.042,0.59732,0.65082,1.08828,0.85547,0.45927,0.54928,0.28453,1.77678,1.94281,1.47036,2.5102e-05,2.5102e-05,2.5102e-05
73,79.1115,0.70345,0.92676,1.05011,0.85547,0.45927,0.54928,0.28453,1.77678,1.94281,1.47036,2.46073e-05,2.46073e-05,2.46073e-05
74,80.2271,0.75544,0.6532,1.24813,0.85547,0.45927,0.54928,0.28453,1.77678,1.94281,1.47036,2.40891e-05,2.40891e-05,2.40891e-05
75,81.3423,0.71135,0.54731,1.12712,0.85641,0.46241,0.57294,0.2848,1.76747,1.94256,1.46526,2.35472e-05,2.35472e-05,2.35472e-05
76,82.4031,0.6499,0.72693,1.13613,0.85641,0.46241,0.57294,0.2848,1.76747,1.94256,1.46526,2.29819e-05,2.29819e-05,2.29819e-05
77,83.4663,0.69308,0.6524,1.12449,0.85641,0.46241,0.57294,0.2848,1.76747,1.94256,1.46526,2.23929e-05,2.23929e-05,2.23929e-05
78,84.551,0.91272,1.02243,1.22038,0.86022,0.4564,0.57118,0.28388,1.80443,1.96712,1.4904,2.17805e-05,2.17805e-05,2.17805e-05
79,85.5976,0.59842,0.80379,1.10449,0.86022,0.4564,0.57118,0.28388,1.80443,1.96712,1.4904,2.11444e-05,2.11444e-05,2.11444e-05
80,86.6594,0.72311,0.74669,1.18626,0.86022,0.4564,0.57118,0.28388,1.80443,1.96712,1.4904,2.04848e-05,2.04848e-05,2.04848e-05
